"vpnr" "group" "alter" "sex" "hand" "fach" "sprache" "color" "cs" "rep" "wort" "istwort" "istpositiv" "uspositiv" "istmaskiert" "us0" "us1" "us2" "us3" "us4" "liking0" "liking1" "liking2" "valenz_response" "valenz_rt" "sichtbar_response_pos" "sichtbar_response" "sichtbar_response_text" "sichtbar_korrekt" "sichtbar_rt"
"1" "1" 1 20 1 2 1 1 "LEHRAMTS" 0 0 "botsy" 0 -1 0 0 2 3 17 12 6 5 4 5 0 1392 0 0 "botsy" 1 1389
"2" "1" 1 20 1 2 1 1 "LEHRAMTS" 0 1 "botsy" 0 -1 0 0 2 3 17 12 6 5 4 5 1 1881 0 0 "botsy" 1 1539
"3" "1" 1 20 1 2 1 1 "LEHRAMTS" 0 2 "botsy" 0 -1 0 0 2 3 17 12 6 5 4 5 1 4682 0 0 "botsy" 1 1314
"4" "1" 1 20 1 2 1 1 "LEHRAMTS" 0 3 "botsy" 0 -1 0 0 2 3 17 12 6 5 4 5 1 805 0 0 "botsy" 1 1270
"5" "1" 1 20 1 2 1 1 "LEHRAMTS" 0 4 "botsy" 0 -1 0 0 2 3 17 12 6 5 4 5 1 1098 0 0 "botsy" 1 1036
"6" "1" 1 20 1 2 1 1 "LEHRAMTS" 0 5 "botsy" 0 -1 0 0 2 3 17 12 6 5 4 5 1 3269 0 0 "botsy" 1 1263
"7" "1" 1 20 1 2 1 1 "LEHRAMTS" 0 6 "botsy" 0 -1 0 0 2 3 17 12 6 5 4 5 1 1313 0 0 "botsy" 1 1130
"8" "1" 1 20 1 2 1 1 "LEHRAMTS" 0 7 "botsy" 0 -1 0 0 2 3 17 12 6 5 4 5 1 700 0 0 "botsy" 1 695
"9" "1" 1 20 1 2 1 1 "LEHRAMTS" 0 8 "botsy" 0 -1 0 0 2 3 17 12 6 5 4 5 0 1635 0 0 "botsy" 1 1235
"10" "1" 1 20 1 2 1 1 "LEHRAMTS" 0 9 "botsy" 0 -1 0 0 2 3 17 12 6 5 4 5 1 818 0 0 "botsy" 1 893
"11" "1" 1 20 1 2 1 1 "LEHRAMTS" 1 0 "permife" 0 -1 0 0 11 15 23 10 13 5 4 5 1 1694 15 1 "permife" 1 1589
"12" "1" 1 20 1 2 1 1 "LEHRAMTS" 1 1 "permife" 0 -1 0 0 11 15 23 10 13 5 4 5 0 1403 15 1 "permife" 1 1393
"13" "1" 1 20 1 2 1 1 "LEHRAMTS" 1 2 "permife" 0 -1 0 0 11 15 23 10 13 5 4 5 1 1044 15 1 "permife" 1 1318
"14" "1" 1 20 1 2 1 1 "LEHRAMTS" 1 3 "permife" 0 -1 0 0 11 15 23 10 13 5 4 5 1 756 15 1 "permife" 1 1087
"15" "1" 1 20 1 2 1 1 "LEHRAMTS" 1 4 "permife" 0 -1 0 0 11 15 23 10 13 5 4 5 0 1254 15 1 "permife" 1 1710
"16" "1" 1 20 1 2 1 1 "LEHRAMTS" 1 5 "permife" 0 -1 0 0 11 15 23 10 13 5 4 5 0 2262 15 1 "permife" 1 884
"17" "1" 1 20 1 2 1 1 "LEHRAMTS" 1 6 "permife" 0 -1 0 0 11 15 23 10 13 5 4 5 1 567 15 1 "permife" 1 1232
"18" "1" 1 20 1 2 1 1 "LEHRAMTS" 1 7 "permife" 0 -1 0 0 11 15 23 10 13 5 4 5 1 1456 15 1 "permife" 1 1117
"19" "1" 1 20 1 2 1 1 "LEHRAMTS" 1 8 "permife" 0 -1 0 0 11 15 23 10 13 5 4 5 0 1107 15 1 "permife" 1 631
"20" "1" 1 20 1 2 1 1 "LEHRAMTS" 1 9 "permife" 0 -1 0 0 11 15 23 10 13 5 4 5 1 577 15 1 "permife" 1 1227
"21" "1" 1 20 1 2 1 1 "LEHRAMTS" 2 0 "schese" 0 -1 0 0 4 8 9 24 1 8 5 6 0 3094 17 2 "schese" 1 2312
"22" "1" 1 20 1 2 1 1 "LEHRAMTS" 2 1 "schese" 0 -1 0 0 4 8 9 24 1 8 5 6 1 1555 17 2 "schese" 1 3609
"23" "1" 1 20 1 2 1 1 "LEHRAMTS" 2 2 "schese" 0 -1 0 0 4 8 9 24 1 8 5 6 0 1317 17 2 "schese" 1 1294
"24" "1" 1 20 1 2 1 1 "LEHRAMTS" 2 3 "schese" 0 -1 0 0 4 8 9 24 1 8 5 6 1 1132 17 2 "schese" 1 829
"25" "1" 1 20 1 2 1 1 "LEHRAMTS" 2 4 "schese" 0 -1 0 0 4 8 9 24 1 8 5 6 1 773 17 2 "schese" 1 1552
"26" "1" 1 20 1 2 1 1 "LEHRAMTS" 2 5 "schese" 0 -1 0 0 4 8 9 24 1 8 5 6 1 832 17 2 "schese" 1 1538
"27" "1" 1 20 1 2 1 1 "LEHRAMTS" 2 6 "schese" 0 -1 0 0 4 8 9 24 1 8 5 6 0 925 17 2 "schese" 1 1019
"28" "1" 1 20 1 2 1 1 "LEHRAMTS" 2 7 "schese" 0 -1 0 0 4 8 9 24 1 8 5 6 0 628 17 2 "schese" 1 1276
"29" "1" 1 20 1 2 1 1 "LEHRAMTS" 2 8 "schese" 0 -1 0 0 4 8 9 24 1 8 5 6 1 1065 17 2 "schese" 1 1306
"30" "1" 1 20 1 2 1 1 "LEHRAMTS" 2 9 "schese" 0 -1 0 0 4 8 9 24 1 8 5 6 0 2134 17 2 "schese" 1 1146
"31" "1" 1 20 1 2 1 1 "LEHRAMTS" 3 0 "molkate" 0 -1 0 0 0 14 18 16 21 5 4 6 1 1245 11 3 "molkate" 1 1908
"32" "1" 1 20 1 2 1 1 "LEHRAMTS" 3 1 "molkate" 0 -1 0 0 0 14 18 16 21 5 4 6 0 2329 11 3 "molkate" 1 1900
"33" "1" 1 20 1 2 1 1 "LEHRAMTS" 3 2 "molkate" 0 -1 0 0 0 14 18 16 21 5 4 6 1 820 11 3 "molkate" 1 1437
"34" "1" 1 20 1 2 1 1 "LEHRAMTS" 3 3 "molkate" 0 -1 0 0 0 14 18 16 21 5 4 6 0 890 11 3 "molkate" 1 1388
"35" "1" 1 20 1 2 1 1 "LEHRAMTS" 3 4 "molkate" 0 -1 0 0 0 14 18 16 21 5 4 6 0 1025 11 3 "molkate" 1 1544
"36" "1" 1 20 1 2 1 1 "LEHRAMTS" 3 5 "molkate" 0 -1 0 0 0 14 18 16 21 5 4 6 1 958 11 3 "molkate" 1 2248
"37" "1" 1 20 1 2 1 1 "LEHRAMTS" 3 6 "molkate" 0 -1 0 0 0 14 18 16 21 5 4 6 1 608 11 3 "molkate" 1 1812
"38" "1" 1 20 1 2 1 1 "LEHRAMTS" 3 7 "molkate" 0 -1 0 0 0 14 18 16 21 5 4 6 1 725 11 3 "molkate" 1 1522
"39" "1" 1 20 1 2 1 1 "LEHRAMTS" 3 8 "molkate" 0 -1 0 0 0 14 18 16 21 5 4 6 0 657 11 3 "molkate" 1 993
"40" "1" 1 20 1 2 1 1 "LEHRAMTS" 3 9 "molkate" 0 -1 0 0 0 14 18 16 21 5 4 6 1 620 11 3 "molkate" 1 1685
"41" "1" 1 20 1 2 1 1 "LEHRAMTS" 4 0 "ubajec" 0 -1 0 0 7 20 19 5 22 6 6 6 1 2134 8 10 "larnist" -1 6190
"42" "1" 1 20 1 2 1 1 "LEHRAMTS" 4 1 "ubajec" 0 -1 0 0 7 20 19 5 22 6 6 6 1 1637 20 4 "ubajec" 1 7728
